generation_project,timestamp,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,tp_weight_in_year_hrs,period,DispatchGen_MW,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,TotalDispatchGWh
S-Biomass_IGCC,2025011600,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.744,2020,0,0,0,0,0
S-Biomass_IGCC,2025011612,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,1095.744,2020,0,0,0,0,0
S-Biomass_IGCC,2025061500,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2191.5,2020,0,0,0,0,0
S-Biomass_IGCC,2025061512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,2191.5,2020,0,0,0,0,0
S-Biomass_IGCC,2035011512,S-Biomass_IGCC,Biomass_IGCC,South,BioSolid,8766,2030,0,0,0,0,0
S-Biomass_IGCC_CCS,2035011512,S-Biomass_IGCC_CCS,Biomass_IGCC_CCS,South,BioSolid,8766,2030,0,0,0,0,0
S-Residential_PV,2025011500,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Residential_PV,2025011512,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Residential_PV,2025011600,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Residential_PV,2025011612,S-Residential_PV,Residential_PV,South,Solar,1095.744,2020,1.46E-15,1.60E-15,0,0,1.60094E-14
S-Residential_PV,2025061500,S-Residential_PV,Residential_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Residential_PV,2025061512,S-Residential_PV,Residential_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Residential_PV,2035011512,S-Residential_PV,Residential_PV,South,Solar,8766,2030,0,0,0,0,0
S-Commercial_PV,2025011500,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Commercial_PV,2025011512,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,7.26E-16,7.95E-16,0,0,7.95005E-15
S-Commercial_PV,2025011600,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Commercial_PV,2025011612,S-Commercial_PV,Commercial_PV,South,Solar,1095.744,2020,7.81E-16,8.56E-16,0,0,8.56184E-15
S-Commercial_PV,2025061500,S-Commercial_PV,Commercial_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Commercial_PV,2025061512,S-Commercial_PV,Commercial_PV,South,Solar,2191.5,2020,0,0,0,0,0
S-Commercial_PV,2035011512,S-Commercial_PV,Commercial_PV,South,Solar,8766,2030,1.39E-15,1.22E-14,0,0,1.21695E-13
S-Central_PV-1,2025011500,S-Central_PV-1,Central_PV,South,Solar,1095.744,2020,0,0,0,0,0
S-Central_PV-1,2025011512,S-Central_PV-1,Central_PV,South,Solar,1095.744,2020,-5.55E-17,-6.08E-17,0,0,-6.0826E-16
